Order ID,Product,Category,Price,Quantity,Customer Region,Order Date
1002491,Keyboard,Accessories,1467.23,1,South,2023-07-05
1003156,Smartphone,Accessories,1027.56,2,South,2023-03-24
1003889,Headphones,Electronics,1006.57,5,South,2023-12-12
1001336,Printer,Electronics,810.43,4,South,2023-05-25
1003566,Smartphone,Office Supplies,232.14,5,East,2023-05-16
1003367,Keyboard,Electronics,935.25,7,East,2023-12-10
1002275,Laptop,Office Supplies,672.49,5,East,2023-10-15
1004051,Keyboard,Electronics,894.3,4,South,2023-03-31
1001300,Keyboard,Office Supplies,58.73,9,East,2023-02-12
1000920,Laptop,Office Supplies,329.37,8,East,2023-01-30
1001978,Mouse,Electronics,1382.24,7,East,2023-06-02
1001541,Keyboard,Electronics,700.63,5,South,2023-04-14
1000082,Smartphone,Accessories,862.39,7,South,2023-08-06
1000189,Laptop,Office Supplies,77.75,7,South,2023-12-25
1002443,Monitor,Electronics,531.32,3,North,2023-09-27
1000013,Laptop,Electronics,791.65,6,West,2023-02-11
1003967,Printer,Accessories,187.95,7,South,2023-09-08
1001449,Keyboard,Office Supplies,736.07,1,North,2023-06-26
1002054,Smartphone,Accessories,296.91,9,West,2023-08-01
1003026,Headphones,Electronics,973.2,5,West,2023-04-23
1002734,Printer,Accessories,1046.64,2,South,2023-06-23
1004196,Laptop,Office Supplies,448.25,2,South,2023-06-03
1001175,Mouse,Electronics,1227.94,9,East,2023-11-25
1001087,Laptop,Accessories,1122.26,4,South,2023-06-15
1000972,Mouse,Electronics,401.61,8,West,2023-05-13
1000341,Smartphone,Accessories,877.08,9,South,2023-04-04
1002048,Smartphone,Accessories,787.1,7,South,2023-06-12
1000560,Monitor,Accessories,812.96,7,South,2023-11-13
1002680,Headphones,Accessories,440.92,7,East,2023-12-02
1003077,Printer,Accessories,1495.71,4,South,2023-10-30
1000884,Monitor,Office Supplies,151.48,7,West,2023-04-16
1002748,Monitor,Accessories,1248.3,9,North,2023-08-12
1000459,Keyboard,Office Supplies,441.58,2,South,2023-08-17
1000386,Headphones,Electronics,477.27,6,North,2023-03-25
1001474,Laptop,Office Supplies,1053.57,6,North,2023-07-09
1000431,Monitor,Accessories,1454.14,9,North,2023-10-12
1003998,Headphones,Accessories,242.5,6,West,2023-12-19
1003373,Smartphone,Office Supplies,1164.37,2,West,2023-08-06
1004352,Keyboard,Accessories,1281.13,6,North,2023-02-10
1003444,Keyboard,Office Supplies,69.79,5,West,2023-09-05
1002788,Smartphone,Electronics,1010.94,4,East,2023-06-17
1000511,Mouse,Accessories,327.6,2,North,2023-10-31
1003916,Laptop,Office Supplies,1063.65,2,West,2023-05-17
1004282,Keyboard,Accessories,633.77,1,North,2023-06-03
1002449,Headphones,Accessories,970.98,2,South,2023-02-11
1001724,Smartphone,Accessories,184.34,5,South,2023-08-14
1000215,Laptop,Office Supplies,166.63,5,South,2023-11-22
1004184,Headphones,Office Supplies,1103.5,5,North,2023-01-03
1002413,Printer,Accessories,1368.33,1,East,2023-04-12
1003287,Printer,Accessories,137.08,3,South,2023-01-19
1003968,Headphones,Accessories,940.71,5,South,2023-10-14
1003962,Keyboard,Office Supplies,694.06,1,East,2023-12-02
1001623,Mouse,Electronics,1117.06,5,West,2023-12-06
1000896,Keyboard,Electronics,396.32,7,East,2023-07-08
1000888,Laptop,Accessories,646.24,3,West,2023-11-28
1003839,Smartphone,Office Supplies,484.01,1,East,2023-04-21
1001731,Mouse,Office Supplies,1136.57,3,East,2023-06-08
1001851,Keyboard,Accessories,380.51,1,South,2023-05-30
1000550,Keyboard,Electronics,1113.87,1,West,2023-09-19
1004110,Printer,Office Supplies,346.38,2,East,2023-11-10
1000350,Mouse,Office Supplies,1322.88,7,South,2023-06-18
1000306,Keyboard,Electronics,879.26,4,West,2023-04-05
1001332,Keyboard,Office Supplies,227.53,9,South,2023-08-22
1003288,Mouse,Office Supplies,632.99,9,South,2023-09-29
1000712,Printer,Office Supplies,1255.51,7,South,2023-01-11
1002116,Printer,Electronics,554.35,3,East,2023-01-04
1002782,Mouse,Electronics,1178.98,3,North,2023-08-01
1000270,Laptop,Office Supplies,880.72,6,South,2023-12-14
1001480,Smartphone,Office Supplies,835.69,8,North,2023-11-10
1002505,Printer,Office Supplies,938.23,9,North,2023-12-03
1001091,Monitor,Office Supplies,1452.37,2,North,2023-11-21
1000889,Headphones,Electronics,695.07,6,East,2023-01-05
1000052,Keyboard,Office Supplies,1308.94,4,South,2023-08-26
1003426,Mouse,Electronics,1209.15,9,East,2023-03-27
1001130,Headphones,Office Supplies,1076.65,1,East,2023-03-11
1000391,Smartphone,Electronics,85.43,8,East,2023-01-08
1002442,Laptop,Accessories,664.38,9,North,2023-12-16
1004325,Smartphone,Electronics,863.68,8,East,2023-11-10
1000002,Headphones,Accessories,1289.9,4,North,2023-04-16
1000395,Monitor,Electronics,1312.5,1,North,2023-08-02
1003537,Mouse,Accessories,448.96,2,South,2023-08-08
1000036,Smartphone,Electronics,845.43,4,East,2023-10-04
1002565,Keyboard,Electronics,564.07,2,South,2023-04-14
1004271,Keyboard,Electronics,1061.01,1,East,2023-05-09
1001707,Monitor,Office Supplies,136.73,8,West,2023-08-22
1004246,Headphones,Electronics,419.65,6,North,2023-04-30
1003699,Monitor,Office Supplies,1340.35,2,North,2023-12-01
1001033,Headphones,Office Supplies,1373.73,3,East,2023-01-20
1002784,Keyboard,Accessories,734.15,9,North,2023-12-03
1001148,Laptop,Accessories,1467.51,4,South,2023-03-28
1004038,Headphones,Accessories,182.77,4,West,2023-01-31
